player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision,season,match_id_unique
Lokesh Bam,Biratnagar Kings (NPL),Batsman,5,6,1,0,83.33,Yes,b Rajbanshi,0,0,0,0,0,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Martin Guptill,Biratnagar Kings (NPL),Batsman,55,43,7,1,127.9,Yes,c Sah b Thaker,0,0,0,0,0,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Aqib Ilyas,Biratnagar Kings (NPL),All-rounder,15,18,1,0,83.33,Yes,lbw b Mohammad Mohsin,3,19,0,0,6.33,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Nicholas Kirton,Biratnagar Kings (NPL),Batsman,9,13,1,0,69.23,Yes,b Thaker,0.3,6,0,0,12,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Basir Ahamad,Biratnagar Kings (NPL),All-rounder,7,9,0,0,77.77,Yes,c Sah b Rajbanshi,0,0,0,0,0,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Rajesh Pulami,Biratnagar Kings (NPL),Batsman,1,6,0,0,16.66,Yes,run out (Milantha),0,0,0,0,0,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Pratis GC,Biratnagar Kings (NPL),Bowler,2,3,0,0,66.66,Yes,b Rajbanshi,2,14,1,0,7,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Sandeep Lamichhane,Biratnagar Kings (NPL),Bowler,7,4,0,1,175,Yes,c Yadav b Mahato,4,30,0,0,7.5,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Chris Sole,Biratnagar Kings (NPL),Bowler,4,5,0,0,80,Yes,c Mohammad Mohsin b Mike,3,31,1,0,10.33,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Jitendra Mukhiya,Biratnagar Kings (NPL),Bowler,0,1,0,0,0,Yes,b Mahato,2,12,0,0,6,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Anil Kharel,Biratnagar Kings (NPL),Bowler,7,7,1,0,100,No,not out,1,11,0,0,11,0,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,Janakpur Bolts (NPL),Bowl,1,S1_M1
Anil Sah,Janakpur Bolts (NPL),Batsman,5,4,0,0,125,Yes,b Pratis GC,0,0,0,0,0,2,0,0,1,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",Janakpur Bolts (NPL),Biratnagar Kings (NPL),Win,Janakpur Bolts (NPL),Bowl,1,S1_M1
