player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Luc Benkenstein,Chitwan Rhinos (NPL),All-rounder,0,5,0,0,0.00,Yes,b Sompal Kami,1,17,0,0,17.00,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Karnali Yaks (NPL)",Loss,"Karnali Yaks (NPL)",Bowl
Deepak Bohara,Chitwan Rhinos (NPL),All-rounder,8,8,1,0,100.00,Yes,c Khanal b Yadav,0,0,0,0,0,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Karnali Yaks (NPL)",Loss,"Karnali Yaks (NPL)",Bowl
Bipin Rawal,Chitwan Rhinos (NPL),Wicket-keeper,11,15,1,0,73.33,Yes,b Zeeshan Maqsood,0,0,0,0,0,1,1,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Karnali Yaks (NPL)",Loss,"Karnali Yaks (NPL)",Bowl
Ravi Bopara,Chitwan Rhinos (NPL),All-rounder,59,40,7,1,147.50,No,not out,2,14,1,0,7.00,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Karnali Yaks (NPL)",Loss,"Karnali Yaks (NPL)",Bowl
Kushal Malla,Chitwan Rhinos (NPL),All-rounder,23,27,2,1,85.18,Yes,c Gulsan Jha b Zeeshan Maqsood,4,13,1,0,3.25,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Karnali Yaks (NPL)",Loss,"Karnali Yaks (NPL)",Bowl
Jan Nicol Loftie-Eaton,Chitwan Rhinos (NPL),All-rounder,9,12,1,0,75.00,Yes,lbw b Sharma,3,16,1,0,5.33,1,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Karnali Yaks (NPL)",Loss,"Karnali Yaks (NPL)",Bowl
Sohail Tanvir,Chitwan Rhinos (NPL),Bowler,0,2,0,0,0.00,Yes,b Sharma,4,18,0,0,4.50,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Karnali Yaks (NPL)",Loss,"Karnali Yaks (NPL)",Bowl
Amar Routela,Chitwan Rhinos (NPL),Bowler,9,8,0,1,112.50,Yes,b Sharma,3,17,0,0,5.66,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Karnali Yaks (NPL)",Loss,"Karnali Yaks (NPL)",Bowl
Sharad Vesawkar,Chitwan Rhinos (NPL),Batsman,6,3,1,0,200.00,No,not out,2,16,0,0,8.00,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Karnali Yaks (NPL)",Loss,"Karnali Yaks (NPL)",Bowl
Santosh Karki,Chitwan Rhinos (NPL),Batsman,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Karnali Yaks (NPL)",Loss,"Karnali Yaks (NPL)",Bowl
Rijan Dhakal,Chitwan Rhinos (NPL),Bowler,0,0,0,0,0,No,did not bat,3.5,35,0,0,9.13,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Chitwan Rhinos (NPL)","Karnali Yaks (NPL)",Loss,"Karnali Yaks (NPL)",Bowl
Shikhar Dhawan,Karnali Yaks (NPL),Batsman,45,41,4,1,109.75,Yes,c & b Loftie-Eaton,0,0,0,0,0,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Chitwan Rhinos (NPL)",Win,"Karnali Yaks (NPL)",Bowl
Dev Khanal,Karnali Yaks (NPL),Batsman,25,34,1,1,73.52,Yes,lbw b Kushal Malla,0,0,0,0,0,1,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Chitwan Rhinos (NPL)",Win,"Karnali Yaks (NPL)",Bowl
Chadwick Walton,Karnali Yaks (NPL),Wicket-keeper,30,19,0,3,157.89,Yes,lbw b Bopara,0,0,0,0,0,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Chitwan Rhinos (NPL)",Win,"Karnali Yaks (NPL)",Bowl
Zeeshan Maqsood,Karnali Yaks (NPL),All-rounder,12,15,1,0,80.00,No,not out,4,22,2,0,5.50,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Chitwan Rhinos (NPL)",Win,"Karnali Yaks (NPL)",Bowl
Arjun Gharti,Karnali Yaks (NPL),Batsman,11,10,0,0,110.00,Yes,run out (Rawal/Dhakal),0,0,0,0,0,0,1,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Chitwan Rhinos (NPL)",Win,"Karnali Yaks (NPL)",Bowl
Gulsan Jha,Karnali Yaks (NPL),All-rounder,0,0,0,0,0,No,not out,3,16,0,0,5.33,1,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Chitwan Rhinos (NPL)",Win,"Karnali Yaks (NPL)",Bowl
William Bosisto,Karnali Yaks (NPL),All-rounder,0,0,0,0,0,No,did not bat,2,17,0,0,8.50,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Chitwan Rhinos (NPL)",Win,"Karnali Yaks (NPL)",Bowl
Sompal Kami,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,4,31,1,0,7.75,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Chitwan Rhinos (NPL)",Win,"Karnali Yaks (NPL)",Bowl
Nandan Yadav,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,2,11,1,1,5.50,1,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Chitwan Rhinos (NPL)",Win,"Karnali Yaks (NPL)",Bowl
Bipin Sharma,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,4,21,3,0,5.25,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Chitwan Rhinos (NPL)",Win,"Karnali Yaks (NPL)",Bowl
Unish Thakuri,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,1,10,0,0,10.00,0,0,0,10,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Chitwan Rhinos (NPL)",Win,"Karnali Yaks (NPL)",Bowl

