player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Priyank Panchal,Karnali Yaks (NPL),Batsman,63,47,6,2,134.04,Yes,run out (†Sahil Patel),0,0,0,0,0,1,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Biratnagar Kings (NPL)",Loss,"Karnali Yaks (NPL)",Bat
Mark Watt,Karnali Yaks (NPL),All-rounder,6,9,1,0,66.66,Yes,c George Munsey b Marchant de Lange,3,35,0,0,11.66,1,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Biratnagar Kings (NPL)",Loss,"Karnali Yaks (NPL)",Bat
William Bosisto,Karnali Yaks (NPL),All-rounder,48,48,2,0,100.00,No,not out,3,12,1,0,4.00,2,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Biratnagar Kings (NPL)",Loss,"Karnali Yaks (NPL)",Bat
Gulsan Jha,Karnali Yaks (NPL),All-rounder,20,10,2,1,200.00,Yes,lbw b Sandeep Lamichhane,3,20,2,0,6.66,1,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Biratnagar Kings (NPL)",Loss,"Karnali Yaks (NPL)",Bat
Najibullah Zadran,Karnali Yaks (NPL),Batsman,12,6,0,1,200.00,No,not out,0,0,0,0,0,1,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Biratnagar Kings (NPL)",Loss,"Karnali Yaks (NPL)",Bat
Sompal Kami,Karnali Yaks (NPL),All-rounder,0,0,0,0,0,No,did not bat,4,33,2,0,8.25,0,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Biratnagar Kings (NPL)",Loss,"Karnali Yaks (NPL)",Bat
Pawan Sarraf,Karnali Yaks (NPL),All-rounder,0,0,0,0,0,No,did not bat,3,16,1,0,5.33,1,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Biratnagar Kings (NPL)",Loss,"Karnali Yaks (NPL)",Bat
Deepak Dumre,Karnali Yaks (NPL),Wicket-keeper,0,0,0,0,0,No,did not bat,0,0,0,0,0,2,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Biratnagar Kings (NPL)",Loss,"Karnali Yaks (NPL)",Bat
Nandan Yadav,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,3.5,32,1,0,8.34,0,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Biratnagar Kings (NPL)",Loss,"Karnali Yaks (NPL)",Bat
Yuvraj Khatri,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,0,0,0,0,0,1,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Biratnagar Kings (NPL)",Loss,"Karnali Yaks (NPL)",Bat
Bipin Sharma,Karnali Yaks (NPL),Bowler,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Karnali Yaks (NPL)","Biratnagar Kings (NPL)",Loss,"Karnali Yaks (NPL)",Bat
Lokesh Bam,Biratnagar Kings (NPL),Batsman,6,11,1,0,54.54,Yes,c Pawan Sarraf b William Bosisto,0,0,0,0,0,1,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
George Munsey,Biratnagar Kings (NPL),Batsman,0,2,0,0,0.00,Yes,c †Deepak Dumre b Pawan Sarraf,0,0,0,0,0,1,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Sam Heazlett,Biratnagar Kings (NPL),All-rounder,16,13,3,0,123.07,Yes,c Priyank Panchal b Sompal Kami,4,32,0,0,8.00,0,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Sahil Patel,Biratnagar Kings (NPL),Wicket-keeper,19,24,0,1,79.16,Yes,c sub (MP O'Dowd) b Gulsan Jha,0,0,0,0,0,1,1,1,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Basir Ahamad,Biratnagar Kings (NPL),All-rounder,62,43,3,3,144.18,No,not out,4,25,0,0,6.25,0,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Marchant de Lange,Biratnagar Kings (NPL),Bowler,2,2,0,0,100.00,Yes,c Yuvraj Khatri b Gulsan Jha,4,40,1,0,10.00,0,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Narayan Joshi,Biratnagar Kings (NPL),All-rounder,25,16,2,1,156.25,Yes,c William Bosisto b Nandan Yadav,1,13,0,0,13.00,0,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Pratis GC,Biratnagar Kings (NPL),Bowler,6,5,1,0,120.00,Yes,c Gulsan Jha b Sompal Kami,3,22,0,0,7.33,0,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Sandeep Lamichhane,Biratnagar Kings (NPL),All-rounder,6,4,1,0,150.00,No,not out,4,24,1,0,6.00,0,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
Subash Bhandari,Biratnagar Kings (NPL),Bowler,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,16,2025-11-28,"Tribhuvan University International Cricket Ground, Kirtipur","Biratnagar Kings (NPL)","Karnali Yaks (NPL)",Win,"Karnali Yaks (NPL)",Bat
