match_id_unique,team,opposition,match_result,match_date,venue,season,toss_winner,toss_decision,won,lost,tied,toss_won
S1_M1,Biratnagar Kings (NPL),Janakpur Bolts (NPL),Loss,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",1,Janakpur Bolts (NPL),Bowl,0,1,0,0
S1_M1,Janakpur Bolts (NPL),Biratnagar Kings (NPL),Win,2024-11-30,"Tribhuvan University International Cricket Ground, Kirtipur",1,Janakpur Bolts (NPL),Bowl,1,0,0,1
S1_M10,Chitwan Rhinos (NPL),Karnali Yaks (NPL),Loss,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur",1,Karnali Yaks (NPL),Bowl,0,1,0,0
S1_M10,Karnali Yaks (NPL),Chitwan Rhinos (NPL),Win,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur",1,Karnali Yaks (NPL),Bowl,1,0,0,1
S1_M11,Lumbini Lions (NPL),Pokhara Avengers (NPL),Loss,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur",1,Lumbini Lions (NPL),Bat,0,1,0,1
S1_M11,Pokhara Avengers (NPL),Lumbini Lions (NPL),Win,2024-12-06,"Tribhuvan University International Cricket Ground, Kirtipur",1,Lumbini Lions (NPL),Bat,1,0,0,0
S1_M12,Lumbini Lions (NPL),Sudur Paschim Royals (NPL),Loss,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur",1,Lumbini Lions (NPL),Bowl,0,1,0,1
S1_M12,Sudur Paschim Royals (NPL),Lumbini Lions (NPL),Win,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur",1,Lumbini Lions (NPL),Bowl,1,0,0,0
S1_M13,Biratnagar Kings (NPL),Karnali Yaks (NPL),Loss,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur",1,Biratnagar Kings (NPL),Bowl,0,1,0,1
S1_M13,Karnali Yaks (NPL),Biratnagar Kings (NPL),Win,2024-12-07,"Tribhuvan University International Cricket Ground, Kirtipur",1,Biratnagar Kings (NPL),Bowl,1,0,0,0
S1_M14,Janakpur Bolts (NPL),Lumbini Lions (NPL),Win,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,Lumbini Lions (NPL),Bowl,1,0,0,0
S1_M14,Lumbini Lions (NPL),Janakpur Bolts (NPL),Loss,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,Lumbini Lions (NPL),Bowl,0,1,0,1
S1_M15,Chitwan Rhinos (NPL),Sudur Paschim Royals (NPL),Win,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,Chitwan Rhinos (NPL),Bat,1,0,0,1
S1_M15,Sudur Paschim Royals (NPL),Chitwan Rhinos (NPL),Loss,2024-12-08,"Tribhuvan University International Cricket Ground, Kirtipur",1,Chitwan Rhinos (NPL),Bat,0,1,0,0
