player_name,team,player_role,runs_scored,balls_faced,fours,sixes,strike_rate,out_status,dismissal_type,overs_bowled,runs_conceded,wickets_taken,maidens,economy_rate,catches,run_outs,stumpings,match_id,match_date,venue,batting_team,opposition,match_result,toss_winner,toss_decision
Maaz Sadaqat,Janakpur Bolts (NPL),All-rounder,6,5,0,1,120.00,Yes,c †Niroshan Dickwella b JJ Smit,0,0,0,0,0,0,0,0,25,2025-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Lumbini Lions (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Aasif Sheikh,Janakpur Bolts (NPL),Wicket-keeper,20,17,2,1,117.64,Yes,c Ruben Trumpelmann b Sher Malla,0,0,0,0,0,1,0,0,25,2025-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Lumbini Lions (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Anil Sah,Janakpur Bolts (NPL),All-rounder,7,10,1,0,70.00,Yes,lbw b Ruben Trumpelmann,3,22,0,0,7.33,0,0,0,25,2025-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Lumbini Lions (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Sangeeth Cooray,Janakpur Bolts (NPL),All-rounder,45,38,2,1,118.42,No,not out,4,25,3,0,6.25,1,0,0,25,2025-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Lumbini Lions (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Shubh Kansakar,Janakpur Bolts (NPL),Batsman,11,15,0,0,73.33,Yes,b Sher Malla,0,0,0,0,0,0,0,0,25,2025-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Lumbini Lions (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Sanjay Krishnamurthi,Janakpur Bolts (NPL),All-rounder,14,11,0,1,127.27,Yes,c D'Arcy Short b Rohit Paudel,3.1,25,1,0,7.89,0,0,0,25,2025-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Lumbini Lions (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Jan Nicol Loftie-Eaton,Janakpur Bolts (NPL),All-rounder,0,1,0,0,0.00,Yes,lbw b Rohit Paudel,0,0,0,0,0,0,0,0,25,2025-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Lumbini Lions (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Mayan Yadav,Janakpur Bolts (NPL),Batsman,27,23,1,1,117.39,No,not out,1,3,2,0,3.00,0,0,0,25,2025-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Lumbini Lions (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Rupesh Singh,Janakpur Bolts (NPL),Bowler,0,0,0,0,0,No,did not bat,0,0,0,0,0,0,0,0,25,2025-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Lumbini Lions (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Sachin Bhatt,Janakpur Bolts (NPL),Bowler,0,0,0,0,0,No,did not bat,2,18,0,0,9.00,0,0,0,25,2025-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Lumbini Lions (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
Aaditya Mahata,Janakpur Bolts (NPL),All-rounder,0,0,0,0,0,No,did not bat,2,12,0,0,6.00,0,0,0,25,2025-12-05,"Tribhuvan University International Cricket Ground, Kirtipur","Janakpur Bolts (NPL)","Lumbini Lions (NPL)",Loss,"Janakpur Bolts (NPL)",Bat
