Player,Team,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AM Rossington,POA,2025-2025,7,7,1,323,108*,53.83,214,150.93,1,2,-,31,19
RK Paudel,LUL,2025-2025,10,10,0,276,49,27.6,277,99.63,-,-,1,18,9
B Bhandari,SPR,2025-2025,9,9,1,264,69*,33.0,239,110.46,-,2,2,23,8
DJM Short,LUL,2025-2025,10,10,0,256,57,25.6,211,121.32,-,1,-,26,9
MRJ Watt,KAY,2025-2025,7,7,1,246,114*,41.0,152,161.84,1,1,-,13,21
RS Bopara,CHR,2025-2025,7,7,0,237,66,33.85,182,130.21,-,3,-,12,13
BG Charlesworth,KAG,2025-2025,8,8,0,201,64,25.12,160,125.62,-,1,1,17,10
PK Panchal,KAY,2025-2025,7,7,0,197,90,28.14,140,140.71,-,2,2,17,11
Basir Ahamad,BIK,2025-2025,9,9,1,191,62*,23.87,162,117.9,-,1,1,9,9
Aarif Sheikh,SPR,2025-2025,9,8,2,186,45*,31.0,156,119.23,-,-,1,16,6
JA Simpson,KAG,2025-2025,8,8,1,172,60,24.57,103,166.99,-,1,-,11,11
Lokesh Bam,BIK,2025-2025,9,9,1,170,72,21.25,156,108.97,-,1,1,6,13
SP Krishnamurthi,JAB,2025-2025,7,7,1,167,51,27.83,131,127.48,-,2,-,10,9
DS Airee,SPR,2025-2025,9,8,2,162,39,27.0,123,131.7,-,-,-,5,9
I Pandey,SPR,2025-2025,9,8,1,160,56,22.85,159,100.62,-,1,-,13,4
K Bhurtel,POA,2025-2025,7,7,0,156,59,22.28,112,139.28,-,2,2,12,11
SD Heazlett,BIK,2025-2025,6,6,0,150,51,25.0,100,150.0,-,1,1,9,11
CA Lynn,SPR,2025-2025,6,6,1,143,75*,28.6,118,121.18,-,1,-,12,7
N Dickwella,LUL,2025-2025,6,6,2,137,37,34.25,112,122.32,-,-,-,11,3
Kushal Malla,CHR,2025-2025,7,7,2,135,30*,27.0,111,121.62,-,-,-,5,6
Harmeet Singh,SPR,2025-2025,9,9,2,133,53,19.0,80,166.25,-,1,1,7,12
D Khanal,CHR,2025-2025,7,6,0,127,34,21.16,121,104.95,-,-,-,9,4
MJ Guptill,BIK,2025-2025,6,6,0,125,61,20.83,83,150.6,-,1,-,6,9
D Nath,LUL,2025-2025,10,10,2,122,31,15.25,118,103.38,-,-,-,7,5
DJ Malan,CHR,2025-2025,7,7,0,121,80,17.28,98,123.46,-,1,1,10,5
A Tripathi,KAG,2025-2025,8,8,0,118,39,14.75,138,85.5,-,-,2,11,2
SA Zaib,CHR,2025-2025,7,7,0,116,38,16.57,87,133.33,-,-,-,6,8
Milind Kumar,KAG,2025-2025,7,7,0,115,38,16.42,140,82.14,-,-,-,10,1
S Jora,LUL,2025-2025,10,10,1,115,28,12.77,104,110.57,-,-,3,11,3
Maaz Sadaqat,JAB,2025-2025,5,5,0,113,63,22.6,74,152.7,-,1,-,11,7
Gulsan Jha,KAY,2025-2025,7,5,1,110,49*,27.5,72,152.77,-,-,-,10,6
P Sarraf,KAY,2025-2025,7,5,1,109,35,27.25,87,125.28,-,-,-,8,6
JN Loftie-Eaton,JAB,2025-2025,7,7,1,108,41,18.0,96,112.5,-,-,1,8,4
Aasif Sheikh,JAB,2025-2025,7,7,0,105,54,15.0,93,112.9,-,1,3,13,2
F du Plessis,BIK,2025-2025,4,4,0,101,50,25.25,62,162.9,-,1,-,10,5
J Brown,SPR,2025-2025,6,6,0,101,68,16.83,71,142.25,-,1,3,9,7
JDS Neesham,POA,2025-2025,4,4,1,99,51*,33.0,61,162.29,-,1,1,5,8
WG Bosisto,KAY,2025-2025,5,5,2,96,48*,32.0,90,106.66,-,-,-,5,1
Mohammad Aadil Alam,KAG,2025-2025,8,7,2,93,48*,18.6,60,155.0,-,-,1,7,5
Gulbadin Naib,LUL,2025-2025,5,5,1,90,44*,22.5,59,152.54,-,-,-,6,6
B Sharki,KAG,2025-2025,5,5,1,90,55,22.5,58,155.17,-,1,-,5,7
SS Ranjane,BIK,2025-2025,4,4,1,87,38,29.0,67,129.85,-,-,-,5,4
A Saud,CHR,2025-2025,7,6,2,87,52,21.75,70,124.28,-,1,-,8,4
Mayan Yadav,JAB,2025-2025,7,6,2,84,34*,21.0,94,89.36,-,-,-,5,2
M de Lange,BIK,2025-2025,9,6,1,83,39,16.6,64,129.68,-,-,1,5,5
Santosh Yadav,KAG,2025-2025,8,5,0,76,26,15.2,62,122.58,-,-,-,10,4
DA Douthwaite,POA,2025-2025,3,3,0,73,37,24.33,39,187.17,-,-,-,5,7
AK Sah,JAB,2025-2025,6,6,0,73,61,12.16,75,97.33,-,1,2,5,3
