Player,Team,Span,Mat,Overs,Mdns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4w,5w,10w
S Lamichhane,BIK,2025-2025,9,36.0,0,216,177,17,4/11,10.41,4.91,12.7,1,0,0
MMMS Cooray,JAB,2025-2025,3,12.0,0,72,63,6,3/25,10.50,5.25,12.0,0,0,0
AR Ramjani,CHR,2025-2025,1,4.0,0,24,21,0,-,-,5.25,-,0,0,0
TR Bhandari,LUL,2025-2025,8,27.0,0,162,147,7,3/15,21.00,5.44,23.1,0,0,0
Sunny Patel,KAG,2025-2025,3,12.0,0,72,66,5,2/25,13.20,5.50,14.4,0,0,0
Subash Bhandari,BIK,2025-2025,3,8.0,0,48,44,5,3/14,8.80,5.50,9.6,0,0,0
D Lakshan,POA,2025-2025,3,11.4,1,70,67,1,4/16,6.70,5.74,70.0,1,0,0
R Kumar,CHR,2025-2025,5,20.0,0,120,116,8,5/21,14.50,5.80,15.0,0,1,0
Milind Kumar,KAG,2025-2025,7,27.0,0,162,162,10,3/15,16.20,6.00,16.2,0,0,0
SC Kuggeleijn,SPR,2025-2025,8,26.0,0,156,157,10,3/22,15.70,6.03,15.6,0,0,0
Harmeet Singh,SPR,2025-2025,9,32.4,1,196,202,12,3/22,16.83,6.18,16.3,0,0,0
Shahab Alam,KAG,2025-2025,8,28.0,0,168,174,13,6/25,13.38,6.21,12.9,0,1,0
MRJ Watt,KAY,2025-2025,7,22.0,1,132,142,5,1/9,28.40,6.45,26.4,0,0,0
WG Bosisto,KAY,2025-2025,5,13.0,0,78,84,3,2/18,28.00,6.46,26.0,0,0,0
S Malla,LUL,2025-2025,10,36.0,0,216,234,17,3/18,13.76,6.50,12.7,0,0,0
SP Krishnamurthi,JAB,2025-2025,7,20.1,0,121,133,6,3/21,22.16,6.59,20.1,0,0,0
Maaz Sadaqat,JAB,2025-2025,5,20.0,1,120,132,4,2/25,33.00,6.60,30.0,0,0,0
Bipin Khatri,POA,2025-2025,6,17.2,1,104,115,8,4/15,14.37,6.63,13.0,1,0,0
Santosh Yadav,KAG,2025-2025,8,17.0,0,102,113,7,2/17,16.14,6.64,14.5,0,0,0
SA Zaib,CHR,2025-2025,7,23.0,0,138,153,5,2/35,30.60,6.65,27.6,0,0,0
N Saud,SPR,2025-2025,4,6.0,0,36,40,2,1/9,20.00,6.66,18.0,0,0,0
R Trumpelmann,LUL,2025-2025,10,33.2,1,200,224,15,3/3,14.93,6.72,13.3,0,0,0
BP Sharma,KAY,2025-2025,5,13.0,0,78,88,2,1/19,44.00,6.76,39.0,0,0,0
Sohail Tanvir,CHR,2025-2025,5,18.3,0,111,126,8,4/25,15.75,6.81,13.8,1,0,0
P Sarraf,KAY,2025-2025,7,10.0,0,60,69,3,1/15,23.00,6.90,20.0,0,0,0
Abhishesh Gautam,LUL,2025-2025,10,31.0,0,186,215,7,2/15,30.71,6.93,26.5,0,0,0
MG Erasmus,KAG,2025-2025,5,14.0,0,84,98,3,2/27,32.66,7.00,28.0,0,0,0
