Player,Team,Span,Mat,Inns,NO,Runs_bat,HS,Ave_bat,BF,SR_bat,100,50,0,4s,6s,Overs,Mdns,Balls,Runs_bowl,Wkts,BBI,Ave_bowl,Econ,SR_bowl,4w,5w,10w
AM Rossington,POA,2025-2025,7,7,1,323,108*,53.83,214,150.93,1,2,0,31,19,0,0,0,0,0,-,-,-,-,0,0,0
RK Paudel,LUL,2025-2025,10,10,0,276,49,27.6,277,99.63,0,0,1,18,9,13.0,0,78,99,10,3/12,9.9,7.61,7.8,0,0,0
B Bhandari,SPR,2025-2025,9,9,1,264,69*,33.0,239,110.46,0,2,2,23,8,0,0,0,0,0,-,-,-,-,0,0,0
DJM Short,LUL,2025-2025,10,10,0,256,57,25.6,211,121.32,0,1,0,26,9,13.2,0,80,122,0,-,-,9.15,-,0,0,0
MRJ Watt,KAY,2025-2025,7,7,1,246,114*,41.0,152,161.84,1,1,0,13,21,22.0,1,132,142,5,1/9,28.4,6.45,26.4,0,0,0
RS Bopara,CHR,2025-2025,7,7,0,237,66,33.85,182,130.21,0,3,0,12,13,8.0,0,48,69,2,1/18,34.5,8.62,24.0,0,0,0
BG Charlesworth,KAG,2025-2025,8,8,0,201,64,25.12,160,125.62,0,1,1,17,10,0,0,0,0,0,-,-,-,-,0,0,0
PK Panchal,KAY,2025-2025,7,7,0,197,90,28.14,140,140.71,0,2,2,17,11,0,0,0,0,0,-,-,-,-,0,0,0
Basir Ahamad,BIK,2025-2025,9,9,1,191,62*,23.87,162,117.9,0,1,1,9,9,19.4,0,118,150,3,1/7,50.0,7.62,39.3,0,0,0
Aarif Sheikh,SPR,2025-2025,9,8,2,186,45*,31.0,156,119.23,0,0,1,16,6,0,0,0,0,0,-,-,-,-,0,0,0
JA Simpson,KAG,2025-2025,8,8,1,172,60,24.57,103,166.99,0,1,0,11,11,0,0,0,0,0,-,-,-,-,0,0,0
Lokesh Bam,BIK,2025-2025,9,9,1,170,72,21.25,156,108.97,0,1,1,6,13,0,0,0,0,0,-,-,-,-,0,0,0
SP Krishnamurthi,JAB,2025-2025,7,7,1,167,51,27.83,131,127.48,0,2,0,10,9,20.1,0,121,133,6,3/21,22.16,6.59,20.1,0,0,0
