team,season,Loss,Tie,Win,Total,Win_Rate,W_L_T
Janakpur Bolts (NPL),1,3,0,7,10,70,7-3-0
Sudur Paschim Royals (NPL),1,2,0,7,9,77.78,7-2-0
Karnali Yaks (NPL),1,4,0,5,9,55.56,5-4-0
Chitwan Rhinos (NPL),1,4,0,4,8,50,4-4-0
Kathmandu Gurkhas (NPL),1,3,0,4,7,57.14,4-3-0
Biratnagar Kings (NPL),1,4,1,2,7,28.57,2-4-1
Lumbini Lions (NPL),1,6,0,1,7,14.29,1-6-0
Pokhara Avengers (NPL),1,5,1,1,7,14.29,1-5-1
Sudur Paschim Royals (NPL),2,2,0,8,10,80,8-2-0
Lumbini Lions (NPL),2,4,0,7,11,63.64,7-4-0
Biratnagar Kings (NPL),2,3,0,5,8,62.5,5-3-0
Kathmandu Gurkhas (NPL),2,3,0,5,8,62.5,5-3-0
Pokhara Avengers (NPL),2,4,0,3,7,42.86,3-4-0
Karnali Yaks (NPL),2,5,0,2,7,28.57,2-5-0
Chitwan Rhinos (NPL),2,5,0,1,6,16.67,1-5-0
Janakpur Bolts (NPL),2,6,0,1,7,14.29,1-6-0
