id,batsman_name,team,zone,runs,shot_type,angle,distance,match_id,season,bowler,over,ball
1,Martin Guptill,Biratnagar Kings,cover,4,four,30,85,S1_M1,1,Lalit Rajbanshi,2,3
2,Martin Guptill,Biratnagar Kings,point,4,four,0,80,S1_M1,1,Kishor Mahato,4,2
3,Martin Guptill,Biratnagar Kings,mid_wicket,6,six,150,95,S1_M1,1,Ben Mike,6,4
4,Martin Guptill,Biratnagar Kings,long_off,4,four,90,88,S1_M1,1,Mohammad Mohsin,8,1
5,Martin Guptill,Biratnagar Kings,square_leg,4,four,180,82,S1_M1,1,Harsh Thaker,10,3
6,Martin Guptill,Biratnagar Kings,cover,4,four,30,78,S1_M1,1,Lalit Rajbanshi,12,2
7,Martin Guptill,Biratnagar Kings,mid_on,4,four,130,75,S1_M1,1,Kishor Mahato,14,5
8,Lahiru Milantha,Janakpur Bolts,cover,6,six,35,98,S1_M1,1,Sandeep Lamichhane,5,4
9,Lahiru Milantha,Janakpur Bolts,long_on,4,four,110,85,S1_M1,1,Chris Sole,7,2
10,Lahiru Milantha,Janakpur Bolts,mid_wicket,6,six,155,92,S1_M1,1,Pratis GC,9,1
11,Lahiru Milantha,Janakpur Bolts,point,4,four,5,80,S1_M1,1,Jitendra Mukhiya,11,3
12,Lahiru Milantha,Janakpur Bolts,cover,4,four,25,78,S1_M1,1,Anil Kharel,13,4
13,Lahiru Milantha,Janakpur Bolts,straight,6,six,100,95,S1_M1,1,Sandeep Lamichhane,15,2
14,Lahiru Milantha,Janakpur Bolts,square_leg,4,four,175,82,S1_M1,1,Chris Sole,17,5
15,Lahiru Milantha,Janakpur Bolts,long_off,4,four,88,80,S1_M1,1,Pratis GC,19,3
16,Lahiru Milantha,Janakpur Bolts,mid_on,4,four,125,76,S1_M1,1,Jitendra Mukhiya,20,1
17,Kushal Malla,Chitwan Rhinos,cover,4,four,28,82,S1_M2,1,Karan KC,3,2
18,Kushal Malla,Chitwan Rhinos,mid_wicket,6,six,148,94,S1_M2,1,Shahab Alam,5,4
19,Kushal Malla,Chitwan Rhinos,point,4,four,8,78,S1_M2,1,Dipesh Kandel,7,1
20,Kushal Malla,Chitwan Rhinos,long_on,4,four,115,85,S1_M2,1,Dan Douthwaite,9,3
21,Ravi Bopara,Chitwan Rhinos,cover,4,four,32,80,S1_M2,1,Rashid Khan,4,2
22,Ravi Bopara,Chitwan Rhinos,straight,6,six,95,96,S1_M2,1,Karan KC,6,5
23,Ravi Bopara,Chitwan Rhinos,square_leg,4,four,178,82,S1_M2,1,Shahab Alam,8,1
24,Michael Levitt,Kathmandu Gurkhas,cover,4,four,25,85,S1_M2,1,Sohail Tanvir,2,3
25,Michael Levitt,Kathmandu Gurkhas,long_off,6,six,92,98,S1_M2,1,Amar Routela,4,5
26,Michael Levitt,Kathmandu Gurkhas,mid_wicket,4,four,152,78,S1_M2,1,Rijan Dhakal,6,2
27,Michael Levitt,Kathmandu Gurkhas,point,4,four,2,80,S1_M2,1,Luc Benkenstein,8,4
28,Shikhar Dhawan,Karnali Yaks,cover,4,four,30,82,S1_M3,1,Mohammad Mohsin,3,1
29,Shikhar Dhawan,Karnali Yaks,mid_on,4,four,128,76,S1_M3,1,Lalit Rajbanshi,5,3
30,Shikhar Dhawan,Karnali Yaks,point,4,four,5,78,S1_M3,1,Harsh Thaker,7,2
31,Rohit Paudel,Pokhara Avengers,cover,6,six,35,95,S1_M4,1,Sandeep Lamichhane,4,4
32,Rohit Paudel,Pokhara Avengers,long_on,4,four,112,85,S1_M4,1,Chris Sole,6,2
33,Rohit Paudel,Pokhara Avengers,mid_wicket,6,six,155,92,S1_M4,1,Aqib Ilyas,8,5
34,Rohit Paudel,Pokhara Avengers,straight,4,four,98,80,S1_M4,1,Pratis GC,10,1
35,Rohit Paudel,Pokhara Avengers,square_leg,4,four,180,78,S1_M4,1,Jitendra Mukhiya,12,3
36,Dipendra Airee,Sudurpaschim Royals,cover,4,four,28,82,S1_M5,1,Ravi Bopara,3,2
37,Dipendra Airee,Sudurpaschim Royals,long_off,6,six,88,96,S1_M5,1,Sohail Tanvir,5,4
38,Dipendra Airee,Sudurpaschim Royals,mid_wicket,4,four,150,78,S1_M5,1,Kushal Malla,7,1
39,Dipendra Airee,Sudurpaschim Royals,point,4,four,5,80,S1_M5,1,Amar Routela,9,3
40,Dipendra Airee,Sudurpaschim Royals,straight,6,six,100,94,S1_M5,1,Rijan Dhakal,11,5
41,Karan KC,Kathmandu Gurkhas,fine_leg,4,four,225,82,S1_M6,1,Ben Mike,4,2
42,Karan KC,Kathmandu Gurkhas,third_man,4,four,-60,78,S1_M6,1,Kishor Mahato,6,4
43,Karan KC,Kathmandu Gurkhas,cover,6,six,32,95,S1_M6,1,Lalit Rajbanshi,8,1
44,Sompal Kami,Lumbini Lions,mid_wicket,4,four,152,80,S1_M7,1,Rashid Khan,3,3
45,Sompal Kami,Lumbini Lions,long_on,6,six,115,96,S1_M7,1,Karan KC,5,5
46,Sompal Kami,Lumbini Lions,cover,4,four,28,78,S1_M7,1,Shahab Alam,7,2
47,Sompal Kami,Lumbini Lions,straight,4,four,95,82,S1_M7,1,Dipesh Kandel,9,4
48,Aasif Sheikh,Janakpur Bolts,cover,4,four,30,80,S1_M8,1,Sandeep Lamichhane,4,1
49,Aasif Sheikh,Janakpur Bolts,mid_on,6,six,130,94,S1_M8,1,Chris Sole,6,3
50,Aasif Sheikh,Janakpur Bolts,point,4,four,8,78,S1_M8,1,Aqib Ilyas,8,5
51,Martin Guptill,Biratnagar Kings,third_man,0,out,-55,45,S1_M9,1,Harsh Thaker,5,2
52,Lokesh Bam,Biratnagar Kings,slip,0,out,-45,30,S1_M1,1,Lalit Rajbanshi,1,4
53,Nicholas Kirton,Biratnagar Kings,point,0,out,5,25,S1_M1,1,Harsh Thaker,3,6
54,Rashid Khan,Kathmandu Gurkhas,cover,0,out,28,35,S1_M2,1,Luc Benkenstein,8,3
55,Gerhard Erasmus,Kathmandu Gurkhas,mid_wicket,0,out,150,40,S1_M2,1,Kushal Malla,6,1
56,Harsh Thaker,Janakpur Bolts,cover,2,double,32,55,S1_M1,1,Sandeep Lamichhane,7,2
57,Harsh Thaker,Janakpur Bolts,mid_on,1,single,128,35,S1_M1,1,Chris Sole,9,4
58,Harsh Thaker,Janakpur Bolts,point,2,double,5,50,S1_M1,1,Pratis GC,11,1
59,Santosh Karki,Chitwan Rhinos,cover,1,single,30,30,S1_M2,1,Karan KC,10,3
60,Santosh Karki,Chitwan Rhinos,mid_wicket,2,double,155,52,S1_M2,1,Shahab Alam,12,5
61,Santosh Karki,Chitwan Rhinos,long_on,4,four,112,85,S1_M2,1,Dipesh Kandel,14,2
62,Santosh Karki,Chitwan Rhinos,straight,6,six,98,92,S1_M2,1,Dan Douthwaite,16,4
63,Aqib Ilyas,Biratnagar Kings,cover,1,single,28,32,S1_M1,1,Kishor Mahato,5,1
64,Aqib Ilyas,Biratnagar Kings,mid_on,4,four,125,78,S1_M1,1,Ben Mike,7,3
65,Basir Ahamad,Biratnagar Kings,slip,0,out,-42,28,S1_M1,1,Lalit Rajbanshi,8,5
66,Rohit Paudel,Pokhara Avengers,third_man,4,four,-58,82,S1_M10,1,Rashid Khan,3,2
67,Rohit Paudel,Pokhara Avengers,fine_leg,6,six,228,95,S1_M10,1,Karan KC,5,4
68,Rohit Paudel,Pokhara Avengers,leg_slip,2,double,240,48,S1_M10,1,Shahab Alam,7,1
